OBJECTID,title,description,dataStreamName,dataStreamDescription,dataStreamObsType,dataStreamUniCategory,observationProObsUID,observationResCatObsPheTime,observationResCatObsResTime,observationResCatObsResult,obsResCatObsResult_type,Indentified by Human,Identified by Machine,observationResCatObsSubTime,observationImaImaStatus,observationImaImaResult,observationConParameters,Aegypti Certainty,Tiger Certainty,omProcessLicLicName,omProcessLicLicURI,omProcessLicLicAttSource,omProcessLicAttAggregator,omPrcoessProType,omProcessProReference,omPrcoessResQuaValStatus,omPrcoessResQuaValMethod,omPrcoessResQuaValResult,omPrcoessResQuaQuaGrade,observedProName,observedProDescription,observedProDefinition,sensorName,sensorDescription,sensorEncType,locationName,locationDescription,locationEncType,latitude,longitude,thingName,thingDescription,featureIntName,featureIntDescription,featureIntEncType,featureIntLocation,type,coordinates,nuts_3,nuts_2,Speed,Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),x,y
1,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",2b575886-9881-4c42-8cec-ec8f0e4e924c,2025-06-03T16:06:41.628137Z,2025-06-03T16:06:41.628137Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': 'Aedes albopictus'}",,,Aedes albopictus,2025-06-03T16:06:41.628137Z,1,https://webserver.mosquitoalert.com/media/tigapics/7149ceb0-a34f-4658-b70f-dd65102c246f.jpg,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,2b575886-9881-4c42-8cec-ec8f0e4e924c,Anonymous cell phone user:2b575886-9881-4c42-8cec-ec8f0e4e924c,Varies,"Berga, Barcelona, Cataluña, Spain",indoors,GeoJSON Point,42.1030157,1.8407938,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[1.8407938, 42.1030157]",,,,,,,,,,,,,,,,,,,,,,1.8407938,42.1030157
2,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",abcecc75-27bb-4919-b6e9-1f9bc0367024,2025-06-03T16:03:26.238100Z,2025-06-03T16:03:26.238100Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T16:03:26.238100Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,abcecc75-27bb-4919-b6e9-1f9bc0367024,Anonymous cell phone user:abcecc75-27bb-4919-b6e9-1f9bc0367024,Varies,"Graz, Graz, Steiermark, Austria",outdoors,GeoJSON Point,47.0652275,15.4097299,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[15.4097299, 47.0652275]",,,,,,,,,,,,,,,,,,,,,,15.4097299,47.0652275
3,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",5675148c-8c7b-4ed9-a009-c67e57f02f4d,2025-06-03T14:53:26.772324Z,2025-06-03T14:53:26.772324Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T14:53:26.772324Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,5675148c-8c7b-4ed9-a009-c67e57f02f4d,Anonymous cell phone user:5675148c-8c7b-4ed9-a009-c67e57f02f4d,Varies,"Málaga, Málaga, Andalucía, Spain",outdoors,GeoJSON Point,36.7318837,-4.422137,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[-4.422137, 36.7318837]",,,,,,,,,,,,,,,,,,,,,,-4.422137,36.7318837
4,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",ef0cd189-f4ee-444f-b466-35796cce9b38,2025-06-03T14:42:17.553862Z,2025-06-03T14:42:17.553862Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T14:42:17.553862Z,1,https://webserver.mosquitoalert.com/media/tigapics/dc31f1ee-ef49-4076-82ab-9eaff12ac6da.jpg,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,ef0cd189-f4ee-444f-b466-35796cce9b38,Anonymous cell phone user:ef0cd189-f4ee-444f-b466-35796cce9b38,Varies,,indoors,GeoJSON Point,-32.9714525,-71.5369021,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[-71.5369021, -32.9714525]",,,,,,,,,,,,,,,,,,,,,,-71.5369021,-32.9714525
5,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",c9361758-9b3c-482a-a9fc-8eb4d97f251d,2025-06-03T13:50:11.518814Z,2025-06-03T13:50:11.518814Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T13:50:11.518814Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,c9361758-9b3c-482a-a9fc-8eb4d97f251d,Anonymous cell phone user:c9361758-9b3c-482a-a9fc-8eb4d97f251d,Varies,"Alboraia / Alboraya, Valencia, Comunitat Valenciana, Spain",outdoors,GeoJSON Point,39.49667741641356,-0.3481286019086838,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[-0.3481286019086838, 39.49667741641356]",,,,,,,,,,,,,,,,,,,,,,-0.3481286019086838,39.49667741641356
6,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",f51a9b53-95c0-44eb-9fd5-561636b0fbd3,2025-06-03T13:48:16.647207Z,2025-06-03T13:48:16.647207Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T13:48:16.647207Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,f51a9b53-95c0-44eb-9fd5-561636b0fbd3,Anonymous cell phone user:f51a9b53-95c0-44eb-9fd5-561636b0fbd3,Varies,"Barcelona, Barcelona, Cataluña, Spain",outdoors,GeoJSON Point,41.427350012218184,2.1526695415377617,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[2.1526695415377617, 41.427350012218184]",,,,,,,,,,,,,,,,,,,,,,2.1526695415377617,41.427350012218184
7,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",d0aa557b-4193-44cb-8f88-21dad1cf04f4,2025-06-03T12:41:22.560699Z,2025-06-03T12:41:22.560699Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T12:41:22.560699Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,d0aa557b-4193-44cb-8f88-21dad1cf04f4,Anonymous cell phone user:d0aa557b-4193-44cb-8f88-21dad1cf04f4,Varies,"Barcelona, Barcelona, Cataluña, Spain",indoors,GeoJSON Point,41.44302348016584,2.192526559168992,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[2.192526559168992, 41.44302348016584]",,,,,,,,,,,,,,,,,,,,,,2.192526559168992,41.44302348016584
8,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",dddae5e2-5cdc-4925-ab48-981e8995a572,2025-06-03T12:35:40.384174Z,2025-06-03T12:35:40.384174Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T12:35:40.384174Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,dddae5e2-5cdc-4925-ab48-981e8995a572,Anonymous cell phone user:dddae5e2-5cdc-4925-ab48-981e8995a572,Varies,"Barcelona, Barcelona, Cataluña, Spain",indoors,GeoJSON Point,41.3938336,2.2005617,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[2.2005617, 41.3938336]",,,,,,,,,,,,,,,,,,,,,,2.2005617,41.3938336
9,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",b74b52a3-8fd8-4310-83bf-1d9ffd0e32e3,2025-06-03T12:12:12.341734Z,2025-06-03T12:12:12.341734Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T12:12:12.341734Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,b74b52a3-8fd8-4310-83bf-1d9ffd0e32e3,Anonymous cell phone user:b74b52a3-8fd8-4310-83bf-1d9ffd0e32e3,Varies,"Sax, Alicante, Comunitat Valenciana, Spain",indoors,GeoJSON Point,38.5330522,-0.8183319,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[-0.8183319, 38.5330522]",,,,,,,,,,,,,,,,,,,,,,-0.8183319,38.5330522
10,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",692d483b-fbef-47ad-ad41-c5ffc339db7f,2025-06-03T12:04:29.001864Z,2025-06-03T12:04:29.001864Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': 'Aedes albopictus'}",,,Aedes albopictus,2025-06-03T12:04:29.001864Z,1,https://webserver.mosquitoalert.com/media/tigapics/1e734d56-e6d9-4aa7-a054-c78666b066c3.jpg,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,692d483b-fbef-47ad-ad41-c5ffc339db7f,Anonymous cell phone user:692d483b-fbef-47ad-ad41-c5ffc339db7f,Varies,"Scorzè, Venezia, Veneto, Italy",indoors,GeoJSON Point,45.5719185,12.1004095,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[12.1004095, 45.5719185]",,,,,,,,,,,,,,,,,,,,,,12.1004095,45.5719185
